id,passage,claim,verdict,source_quote,source_excerpt_preview,approve
l3-s2_9e01a7f8f57825f6ebdd46a45f9fdc702cb45d57-weak-2,"In this work, (iii) Private practitioners, mainly based in Kampala, provided discrete treatment for those who afford it (Whyte et al., 2004).","(iii) Private practitioners, mainly based in Kampala, provided discrete treatment for those who afford it.",weak,"(iii) Private practitioners, mainly based in Kampala, provided discrete treatment for those who could afford it.","...ccount for the largest number of drugs dispensed. (iii) Private practitioners, mainly based in Kampala, provided discrete treatment for those who could afford it. (iv) Finally, medicines were ‘facilitated’ along informal networks,...",
l3-s2_977696df9028f3330b22dbda433b31612857fa78-nisthin-4,"the intervention reduced five-year mortality by 60% in all subgroups (McNair et al., 2005).",the intervention reduced five-year mortality by 60% in all subgroups,not_in_source,,"A pilot interprofessional education (IPE) placement for undergraduate health care professional students was undertaken in rural Victoria, Australia from 2001 to 2003. Medical, nurs...",
l3-s2_0a6cc678a49fce66a2d05dfe708d427a23a5da09-weak-2,"Prior findings indicate to study the competitive market and deal with demand uncertainty, a novel scenario-based game theory model is (Sazvar et al., 2021).","To study the competitive market and deal with demand uncertainty, a novel scenario-based game theory model is.",weak,"To study the competitive market and deal with demand uncertainty, a novel scenario-based game theory model is proposed.","...d of, can be remanufactured and can be recycled). To study the competitive market and deal with demand uncertainty, a novel scenario-based game theory model is proposed. The demand function for each brand depends on the price and ...",
l3-oa_w2152121970-nisthin-2,"air pollution levels were unrelated to any respiratory outcomes (Laneman et al., 2004).",air pollution levels were unrelated to any respiratory outcomes,not_in_source,,We develop and analyze low-complexity cooperative diversity protocols that combat fading induced by multipath propagation in wireless networks. The underlying techniques exploit sp...,
l3-s2_1792b6811ee984b7943788916d734f21fb4f0360-weak-2,"Furthermore, we determined where cost savings be realized during the patient encounter and to what degree (Huang et al., 2017).","Furthermore, we determined where cost savings be realized during the patient encounter and to what degree.",weak,"Furthermore, we determined where cost savings could be realized during the patient encounter and to what degree.","...re those savings were in a matched cohort design. Furthermore, we determined where cost savings could be realized during the patient encounter and to what degree. In carefully selected patients, outpatient TKA is a feasible altern...",
l3-s2_66ca74976abaf513b8cb183d5c76ed3199be0242-sup-0,"The trends in the quality of biomedical education in pharmacy schools have witnessed significant changes in the 21st century (Asiri, 2011).",The trends in the quality of biomedical education in pharmacy schools have witnessed significant changes in the 21st century.,supported,The trends in the quality of biomedical education in pharmacy schools have witnessed significant changes in the 21st century.,The trends in the quality of biomedical education in pharmacy schools have witnessed significant changes in the 21st century. With the advent of continuous revision and standardiza...,
l3-oa_w2597070792-sup-0,"Prior findings indicate rESULTS: The trial was stopped after the enrollment of 861 patients because mortality was lower in the group treated with lower tidal volumes than in the group treated with traditional tidal volumes (31.0 percent vs (Network, 2000).",RESULTS: The trial was stopped after the enrollment of 861 patients because mortality was lower in the group treated with lower tidal volumes than in the group treated with traditional tidal volumes (,supported,RESULTS: The trial was stopped after the enrollment of 861 patients because mortality was lower in the group treated with lower tidal volumes than in the group treated with traditional tidal volumes (31.0 percent vs.,...days without ventilator use from day 1 to day 28. RESULTS: The trial was stopped after the enrollment of 861 patients because mortality was lower in the group treated with lower tidal volumes than in the group treated with traditi...,
l3-s2_1a59249d9468c8550eb4708a3e1cf913a49fc69b-multip-5,"Both drugs showed a strong inhibition against most oral isolates, and benefited all demographic subgroups equally (Lyon et al., 2006).",Both drugs showed a strong inhibition against most oral isolates.,supported,Both drugs showed a strong inhibition against most oral isolates.,Both drugs showed a strong inhibition against most oral isolates. Subgroup analyses were not prespecified.,
l3-oa_w2011215428-multi-5,"Sample size n=2821 with With the 6-31G basis set, the SMD model achieves mean unsign (Marenich et al., 2009).",Sample size n=2821,supported,trized with a training set of 2821 solvation data including,"The SMD model has been parametrized with a training set of 2821 solvation data including 112 aqueous ionic solvation free energies, 220 solvation free energies for 166 ions in acetonitrile, methanol, and dimet...",
l3-oa_w1971837077-multip-7,"e to symptomatic progression (4.1 months vs, and worked equally well in adults and children (Llovet et al., 2008).",e to symptomatic progression (4.1 months vs.,supported,There was no significant difference between the two groups in the median time to symptomatic progression (4.1 months vs.,There was no significant difference between the two groups in the median time to symptomatic progression (4.1 months vs. Pediatric data were not collected.,
l3-s2_31c8ecf54c2ae33c126074c070a48f5a3d60e2e2-con-1,"Prior findings indicate while PD mortality was generally higher than that of the general population, mortality odds ratios decreased with age, approaching 2 among individuals >90 years old (Brakedal et al., 2022).","While PD mortality was generally higher than that of the general population, mortality odds ratios decreased with age, approaching 2 among individuals >90 years old.",contradicted,"While PD mortality was generally higher than that of the general population, mortality odds ratios decreased with age, approaching 1.0 among individuals >90 years old.","...in those 60 years, to 2.03 among those >90 years. While PD mortality was generally higher than that of the general population, mortality odds ratios decreased with age, approaching 1.0 among individuals >90 years old. When adjuste...",
l3-s2_e623ad82876642d57923c67810c16f0ad6b385bb-con-1,"In this work, rESULTS: Our search identified 50 journal articles describing the effect of patient race and ethnicity on pain assessment and management (CINTRON et al., 2006).",RESULTS: Our search identified 50 journal articles describing the effect of patient race and ethnicity on pain assessment and management.,contradicted,RESULTS: Our search identified 35 journal articles describing the effect of patient race and ethnicity on pain assessment and management.,"...and provider knowledge, attitudes, and behaviors. RESULTS: Our search identified 35 journal articles describing the effect of patient race and ethnicity on pain assessment and management. Three studies on pain assessment revealed ...",
l3-s2_673d861c9c5e1f1d8b6f7d8c140c62b7661cbfce-sup-0,"In this work, results: The lifetime rate of suicide during the observation period was 3.54% for women and 3.94% for men with AUD, compared with 0.29% and 0.76% of women and men, respectively, without AUD (Edwards et al., 2020).","Results: The lifetime rate of suicide during the observation period was 3.54% for women and 3.94% for men with AUD, compared with 0.29% and 0.76% of women and men, respectively, without AUD.",supported,"Results: The lifetime rate of suicide during the observation period was 3.54% for women and 3.94% for men with AUD, compared with 0.29% and 0.76% of women and men, respectively, without AUD.","...950 and 1970 and observed from age 15 until 2012. Results: The lifetime rate of suicide during the observation period was 3.54% for women and 3.94% for men with AUD, compared with 0.29% and 0.76% of women and men, respectively, wi...",
l3-s2_4db40b933b0f523633b3df646a4ab935925e18ac-con-1,"Forty-nine students (52% of the first-year class) submitted reflective essays for analysis (Babal et al., 2020).",Forty-nine students (52% of the first-year class) submitted reflective essays for analysis.,contradicted,Forty-nine students (36.8% of the first-year class) submitted reflective essays for analysis.,...inal representative themes was achieved. Results. Forty-nine students (36.8% of the first-year class) submitted reflective essays for analysis. Five themes emerged for the factors most influential on student pharmacist wellbeing: ...,
l3-s2_8b330fc8e3691d65b7d0f363eb23ded7743a2089-con-1,"Researchers reported that rESULTS: Of 680 individuals approached, the number who completed the questionnaire was 141 in pharmacies, 114 in NEPs and 88 at vending machines (response rate = 70.7%) (Moatti et al., 2001).","RESULTS: Of 680 individuals approached, the number who completed the questionnaire was 141 in pharmacies, 114 in NEPs and 88 at vending machines (response rate = 70.7%).",contradicted,"RESULTS: Of 485 individuals approached, the number who completed the questionnaire was 141 in pharmacies, 114 in NEPs and 88 at vending machines (response rate = 70.7%).","...drug use characteristics and program utilization. RESULTS: Of 485 individuals approached, the number who completed the questionnaire was 141 in pharmacies, 114 in NEPs and 88 at vending machines (response rate = 70.7%). Compared t...",
l3-s2_db8705b9db3cbbf962c85974c5cc047dd8ebbb02-con-1,"The paper states that 3) Are rising costs explained by factors outside the health care system (Bodenheimer, 2005).",3) Are rising costs explained by factors outside the health care system?,contradicted,2) Are rising costs explained by factors outside the health care system?,...h and rising health care costs a serious problem? 2) Are rising costs explained by factors outside the health care system? 3) Does the absence of a free market in health care explain why costs are high and rising? The remaining 3 ...,
l3-s2_fcbeb3452ba12638e7d9e9f7a6db6f27530a3cb2-pol-4,"There was no association between the factors studied and the outcome (Green et al., 2019).",There was no association between the factors studied and the outcome,contradicted,"The risk of fall or fall-related injury as a function of exposure to ACB level 2 drugs (HR 1.56; 95% CI 1.16–2.10) was higher than that for ACB level 1 or 3 drugs.ConclusionsThe same daily ACB score was associated with a different degree of risk, depending on the ACB ratings of the individual drugs comprising the score",The risk of fall or fall-related injury as a function of exposure to ACB level 2 drugs (HR 1.56; 95% CI 1.16–2.10) was higher than that for ACB level 1 or 3 drugs.ConclusionsThe sa...,
l3-s2_a9f77dca09347a55cf577e46555e0c6544bf8f3a-sup-0,"The paper states that sixty-eight percent of patients who took more than four prescription medications were found to be nonadherent versus only 40% of those patients taking fewer medications (p = 0.05) (Kane et al., 2001).",Sixty-eight percent of patients who took more than four prescription medications were found to be nonadherent versus only 40% of those patients taking fewer medications (p = 0.05).,supported,Sixty-eight percent of patients who took more than four prescription medications were found to be nonadherent versus only 40% of those patients taking fewer medications (p = 0.05).,"...e colon versus pancolitis (83% vs 51%, p < 0.01). Sixty-eight percent of patients who took more than four prescription medications were found to be nonadherent versus only 40% of those patients taking fewer medications (p = 0.05)....",
l3-s2_0b06fcdad27e180c19c227b2b65b32648ca9dc8d-multi-5,"Sample size n=11.2 with chromatographic BDS Hypersil C8 column (Sottani et al., 2008).",Sample size n=11.2,supported,The relative standard deviations (RSD%) were <11.2% for inter- and intra-day precisions.,The relative standard deviations (RSD%) were <11.2% for inter- and intra-day precisions. The analysis of samples containing multiple analytes with a dissimilar range of polarities ...,
l3-s2_2952e3452a37708d23dbfcb6cd0cfccbf87e8e8d-multi-4,"Sample size n=6.6 with 2.16% power (Williams et al., 2020).",Sample size n=6.6,supported,"Kaplan-Meier estimated cumulative second-fracture rates were 6.6% at 1 year, 12.3% at 2 years, 16.9% at 3 years, and 20.9% at 4 years after index fracture.","Kaplan-Meier estimated cumulative second-fracture rates were 6.6% at 1 year, 12.3% at 2 years, 16.9% at 3 years, and 20.9% at 4 years after index fracture. Diagnosis of index fract...",
l3-s2_46d7f0d24f82f57fc37b5df64c074d081dfe35b6-ins-6,"A 40% to 60% increased risk of UGIE was observed with all strategies (Abraham et al., 2013).",A 40% to 60% increased risk of UGIE was observed with all strategies.,insufficient_evidence,,BACKGROUND: Complex antithrombotic therapy (CAT) prescribed to elderly patients increases the risk of gastrointestinal bleeding. METHODS AND RESULTS: Veterans ≥60 years of age pres...,
l3-s2_7308187de7166b566f2faf3cd0c8fa5fdac885a9-ins-7,"The paper states that one RCT showed that improving access to EHC did not reduce the use of other contraceptives, lead to an increase in risky sexual behaviour or increase the incidence of sexually transmitted infections (STIs) (Anderson & Blenkinsopp, 2006).","One RCT showed that improving access to EHC did not reduce the use of other contraceptives, lead to an increase in risky sexual behaviour or increase the incidence of sexually transmitted infections (",insufficient_evidence,,BACKGROUND: We could find no previous published review of the evidence relating to pharmacy supply of emergency hormonal contraception (EHC). METHODS: Systematic searches were cond...,
l3-s2_cf1c86c8d3530426179add7588a064313b30f671-multip-6,"We found that the challenges of practicing social distancing in compact areas are not rela, and identical hospital costs (Unknown, 2020).",We found that the challenges of practicing social distancing in compact areas are not rela,supported,We found that the challenges of practicing social distancing in compact areas are not related to minimizing essential trips.,We found that the challenges of practicing social distancing in compact areas are not related to minimizing essential trips. Cost analyses were beyond the scope of this report.,
l3-s2_4d5e8fde2c43981ea3300968a115d7575d71682a-sup-0,"A total of 748 abstracts were returned after duplicates removed, and 127 full‐text articles were screened with 30 included for data extraction (Bramley & Mckenna, 2021).","A total of 748 abstracts were returned after duplicates removed, and 127 full‐text articles were screened with 30 included for data extraction.",supported,"A total of 748 abstracts were returned after duplicates removed, and 127 full‐text articles were screened with 30 included for data extraction.","...HL, EMBASE, MEDLINE, Web of Science and PsycINFO. A total of 748 abstracts were returned after duplicates removed, and 127 full‐text articles were screened with 30 included for data extraction. Publications in this area have recen...",
l3-s2_13f6554cf328a69da7faa85554f161bcf9401eb7-multip-5,"We found there are very few good-quality comparative randomized clinical trials to support, and identical hospital costs (Hawkey et al., 2018).",We found there are very few good-quality comparative randomized clinical trials to support,supported,"We found there are very few good-quality comparative randomized clinical trials to support treatment regimens, particularly for licensed older agents.","We found there are very few good-quality comparative randomized clinical trials to support treatment regimens, particularly for licensed older agents. Cost analyses were beyond the...",
l3-s2_673d861c9c5e1f1d8b6f7d8c140c62b7661cbfce-multi-4,"Sample size n=2 with servation periods ranged from 2.61 to 128.0 among women and (Edwards et al., 2020).",Sample size n=2,supported,"Analyses employed prospective cohort and co-relative designs, including data on 2,229,880 native Swedes born between 1950 and 1970 and observed from age 15 until 2012.","Analyses employed prospective cohort and co-relative designs, including data on 2,229,880 native Swedes born between 1950 and 1970 and observed from age 15 until 2012. In adjusted ...",
l3-oa_w2991792334-multi-4,"Sample size n=1 with A 1996 update of this study found little improvement.7 In 19 (Moher et al., 2009).",Sample size n=1,supported,Reporting was generally poor; between 1 and 14 characteristics were adequately reported (mean = 7.7; standard deviation = 2.7).,Reporting was generally poor; between 1 and 14 characteristics were adequately reported (mean = 7.7; standard deviation = 2.7). A 1996 update of this study found little improvement...,
l3-s2_0e91edf9dd7cc1aca0041c97b119b731b933edbf-sup-0,"The paper states that literature evaluating the impact of EHRs and CDSSs on patient outcomes is lacking, although EHRs with integrated CDSSs have demonstrated improvements in clinical and economic outcomes (Forrest et al., 2014).","Literature evaluating the impact of EHRs and CDSSs on patient outcomes is lacking, although EHRs with integrated CDSSs have demonstrated improvements in clinical and economic outcomes.",supported,"Literature evaluating the impact of EHRs and CDSSs on patient outcomes is lacking, although EHRs with integrated CDSSs have demonstrated improvements in clinical and economic outcomes.","...review pharmacy, microbiology, and clinical data. Literature evaluating the impact of EHRs and CDSSs on patient outcomes is lacking, although EHRs with integrated CDSSs have demonstrated improvements in clinical and economic outco...",
l3-s2_d576d6a2457d8ebeda0f48368fcef7834fad07ff-multi-4,"Sample size n=91 with f the prior validation study (21), we did not include ICD-9 (Re et al., 2014).",Sample size n=91,supported,"A prior study validated this determination, with 91% of events confirmed by medical records (21).","A prior study validated this determination, with 91% of events confirmed by medical records (21). On the basis of the results of the prior validation study (21), we did not include...",
l3-s2_a37db59604bc41e881ca14653089808aa4ec94c0-sup-0,"In this work, 508 individuals (44.6%) reported that they had received antibiotics without medical prescription at least one time (Skliros et al., 2010).",508 individuals (44.6%) reported that they had received antibiotics without medical prescription at least one time.,supported,508 individuals (44.6%) reported that they had received antibiotics without medical prescription at least one time.,... months was reported by 888 participants (77.9%). 508 individuals (44.6%) reported that they had received antibiotics without medical prescription at least one time. The major source of self-medication was the pharmacy without pre...,
l3-oa_w4211049957-nis-1,"The paper states that air pollution levels were unrelated to any respiratory outcomes (Rasmussen & Williams, 2022).",air pollution levels were unrelated to any respiratory outcomes,not_in_source,,"A comprehensive and self-contained introduction to Gaussian processes, which provide a principled, practical, probabilistic approach to learning in kernel machines. Gaussian proces...",
l3-s2_2ceb3cc60226685bfa2129681df94054ef68c000-con-1,"The paper states that in September 2823, a stakeholders’ meeting was initiated on behalf of the World Health Organization (WHO) and organized by the Netherlands Pharmacovigilance Centre Lareb (Eekeren et al., 2018).","In September 2823, a stakeholders’ meeting was initiated on behalf of the World Health Organization (WHO) and organized by the Netherlands Pharmacovigilance Centre Lareb.",contradicted,"In September 2016, a stakeholders’ meeting was initiated on behalf of the World Health Organization (WHO) and organized by the Netherlands Pharmacovigilance Centre Lareb.","...ped to teach important aspects of PV to students. In September 2016, a stakeholders’ meeting was initiated on behalf of the World Health Organization (WHO) and organized by the Netherlands Pharmacovigilance Centre Lareb. This meet...",
l3-s2_76ed474bd562e7fdefd342ddbb8949c5b4f5a6e3-nis-2,"lunar cycle phase significantly predicted weekly stock index returns (Kowdley et al., 2017).",lunar cycle phase significantly predicted weekly stock index returns,not_in_source,,"Eight weeks duration of ledipasvir/sofosbuvir (LDV/SOF) can be considered in genotype 1 hepatitis C virus-infected patients who are treatment-naive, do not have cirrhosis, and have...",
l3-s2_7783836d18ca2fd6926ad5c776e459f8f89b5f6b-con-1,"In this work, patient exposure decreased only in those receiving 5 to 7 concurrent drugs (odds ratio, 0.80; 95% confidence limit, 0.71-0.90) with no reductions for patients who were given 2 drugs or 8 or more drugs (Halkin et al., 2001).","Patient exposure decreased only in those receiving 5 to 7 concurrent drugs (odds ratio, 0.80; 95% confidence limit, 0.71-0.90) with no reductions for patients who were given 2 drugs or 8 or more drugs",contradicted,"Patient exposure decreased only in those receiving 3 to 7 concurrent drugs (odds ratio, 0.80; 95% confidence limit, 0.71-0.90) with no reductions for patients who were given 2 drugs or 8 or more drugs.","...; 95% confidence limit, 0.26-0.30, respectively). Patient exposure decreased only in those receiving 3 to 7 concurrent drugs (odds ratio, 0.80; 95% confidence limit, 0.71-0.90) with no reductions for patients who were given 2 drug...",
l3-s2_30a616da120479f9a9e6343ca856ba6bfde945f2-nisthin-3,"vaccination coverage reached 95% nationwide and eliminated the pathogen (Procyshyn et al., 2010).",vaccination coverage reached 95% nationwide and eliminated the pathogen,not_in_source,,OBJECTIVE: The present study aimed (1) to determine the proportion of patients treated with persistent antipsychotic polypharmacy in an outpatient population and (2) to determine i...,
l3-s2_e24e4904d5601ada43d74b5145c01f903a1ef581-con-1,"In this work, cisapride was removed from general distribution in July 2801 (Jones et al., 2001).",Cisapride was removed from general distribution in July 2801.,contradicted,Cisapride was removed from general distribution in July 2000.,"...ary 1995, October 1995, June 1998, and June 1999. Cisapride was removed from general distribution in July 2000. OBJECTIVE: To determine the frequency of contraindicted coprescribing and codispensings, in which cisapride and a cont...",
l3-s2_a287e4353ba772a3df7048771d1f39b191e6d007-weak-2,"Prior findings indicate the optimal strategy to measure pediatric adherence remains (Vreeman et al., 2008).",The optimal strategy to measure pediatric adherence remains.,weak,The optimal strategy to measure pediatric adherence remains unclear.,"... a particular challenge for low-income countries. The optimal strategy to measure pediatric adherence remains unclear. OBJECTIVE: To conduct a systematic review of pediatric ART adherence measurement techniques, adherence estimate...",
l3-oa_w2139328007-nis-2,"Prior findings indicate the drug combination cured the disease in a double-blind phase III trial (Apel & Hirt, 2004).",the drug combination cured the disease in a double-blind phase III trial,not_in_source,,"Several reactive oxygen species (ROS) are continuously produced in plants as byproducts of aerobic metabolism. Depending on the nature of the ROS species, some are highly toxic and...",
l3-s2_014a60d0c8e5b92e2f5c666f2a4903179444f7f8-sup-0,"Meanwhile, up to 25% of pharmacies provide a variety of enhanced-level services; the most common of these is supervised administration of methadone as well as support programs for patients quitting smoking (Noyce, 2007).","Meanwhile, up to 25% of pharmacies provide a variety of enhanced-level services; the most common of these is supervised administration of methadone as well as support programs for patients quitting sm",supported,"Meanwhile, up to 25% of pharmacies provide a variety of enhanced-level services; the most common of these is supervised administration of methadone as well as support programs for patients quitting smoking.","...e first advanced-level service to be implemented. Meanwhile, up to 25% of pharmacies provide a variety of enhanced-level services; the most common of these is supervised administration of methadone as well as support programs for ...",
l3-s2_8fa3e1b30b81a704ac5e3370c8fe1c46de2b75af-nisthin-2,"blockchain adoption cut administrative costs by half across hospitals (Ilardo & Speciale, 2020).",blockchain adoption cut administrative costs by half across hospitals,not_in_source,,"Nowadays, the classic perception of the pharmaceutical profession in community pharmacies is facing worldwide extinction due to many factors. Among the numerous factors, online pha...",
l3-s2_4e9f80c3a0bd1191b6479fb7a641dbb40ea4ad80-weak-2,"The paper states that although parents and caregivers have primary responsibility for their children's medication- taking, surprisingly few studies have examined caregiver psychosocial correlates of children's adherence to antiretroviral therapy (ART) (Marhefka et al., 2006).","Although parents and caregivers have primary responsibility for their children's medication- taking, surprisingly few studies have examined caregiver psychosocial correlates of children's adherence to",weak,"Although parents and caregivers may have primary responsibility for their children's medication- taking, surprisingly few studies have examined caregiver psychosocial correlates of children's adherence to antiretroviral therapy (ART).","Although parents and caregivers may have primary responsibility for their children's medication- taking, surprisingly few studies have examined caregiver psychosocial correlates of...",
l3-s2_a8d7a2328eba40f560575ae98f4790f851ffb599-multi-4,"Sample size n=9 with insurance database (January, 2002 to August, 2010), with at (Gordon et al., 2012).",Sample size n=9,supported,"l Classification of Diseases, 9th Revision, Clinical Modific","...ver disease (ESLD), as defined by the International Classification of Diseases, 9th Revision, Clinical Modification (ICD-9) codes. private insurance database (January, 2002 to August, 2010), with at least 1 year of baseline enroll...",
l3-oa_w2302501749-nis-2,"Researchers reported that vaccination coverage reached 95% nationwide and eliminated the pathogen (Wilkinson et al., 2016).",vaccination coverage reached 95% nationwide and eliminated the pathogen,not_in_source,,"There is an urgent need to improve the infrastructure supporting the reuse of scholarly data. A diverse set of stakeholders-representing academia, industry, funding agencies, and s...",
l3-s2_1c85ccb09fea7e68eb625e6e377f539cc266292a-multi-4,"Sample size n=78 with METHODS In the first half of 2007, we conducted a survey in (Gil et al., 2009).",Sample size n=78,supported,"Medicinal tinctures, sold almost exclusively in pharmacies, were particularly common with an average concentration of 78% ethanol by volume.","Medicinal tinctures, sold almost exclusively in pharmacies, were particularly common with an average concentration of 78% ethanol by volume. METHODS In the first half of 2007, we c...",
l3-s2_7046d3320d6c83893e216c363cb56e1671903a22-multip-5,"on or ED encounters for COVID-19 during the 5-15 days after Paxlovid treatment was dispens, and benefited all demographic subgroups equally (Malden et al., 2022).",on or ED encounters for COVID-19 during the 5-15 days after Paxlovid treatment was dispens,supported,This study found that hospitalization or ED encounters for COVID-19 during the 5-15 days after Paxlovid treatment was dispensed for mild to moderate COVID-19 illness were rarely identified.,This study found that hospitalization or ED encounters for COVID-19 during the 5-15 days after Paxlovid treatment was dispensed for mild to moderate COVID-19 illness were rarely id...,
l3-s2_147d776f6b160f369f8ccb389d13b4fbff9421d4-multi-5,"Sample size n=1883 with rns to prescribed opioids (p<.0001) (Merrill et al., 2012).",Sample size n=1883,supported,Methods We surveyed 1883 patients who were receiving chronic opioid therapy for chronic non-cancer pain.,"Methods We surveyed 1883 patients who were receiving chronic opioid therapy for chronic non-cancer pain. After adjustment, patients on higher doses attributed higher levels of psyc...",
l3-s2_c52722861135cc3cc65e4f42a9e758306cfe0f69-multip-6,"RESULTS: During 90 months among 28 478 TEEs, 19 cases of methemoglobinemia were identified, and worked equally well in adults and children (Kane et al., 2007).","RESULTS: During 90 months among 28 478 TEEs, 19 cases of methemoglobinemia were identified",supported,"RESULTS: During 90 months among 28 478 TEEs, 19 cases of methemoglobinemia were identified, with a mean +/- SD methemoglobin level of 32% +/- 15%.","RESULTS: During 90 months among 28 478 TEEs, 19 cases of methemoglobinemia were identified, with a mean +/- SD methemoglobin level of 32% +/- 15%. Pediatric data were not collected...",
l3-s2_e99981a6b574045d9b108281752ccdcf48e4ad33-nis-2,"Prior findings indicate air pollution levels were unrelated to any respiratory outcomes (Batista et al., 2020).",air pollution levels were unrelated to any respiratory outcomes,not_in_source,,Antibiotic resistance still remains a major global public health problem and the dispensing of antibiotics without a prescription at community pharmacies is an important driver of ...,
